Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),Japanese,Korean
50015_Desc,Text,,兑换代币,"To exchange tokens,",兌換代幣,トークンに両替する,??? ????
50016,Text,,铁宝箱,IronBox,鐵寶箱,鉄の宝箱,????
50017,Text,,银宝箱,SilverBox,銀寶箱,ぎんの宝箱,?? ??
50018,Text,,金宝箱,GoldBox,金寶箱,きんぴつ箱,???
50046,Text,,铜宝箱,CopperBox,铜寶箱,鉄の宝箱,????
50047,Text,,翡翠宝箱,EmeraldBox,翡翠寶箱,ぎんの宝箱,?? ??
50048,Text,,钻石宝箱,DiamondBox,钻石寶箱,きんぴつ箱,???
60001,Text,,击杀20只丛林狼,Kill 20 coyotes,擊殺20只叢林狼,ジャングルのオオカミ20匹を撃ち殺す,???? 20 ?? ????
60002,Text,,兑换一个盲盒（铜）,Exchange one blind box (copper),兌換一個盲盒（銅）,ブラインドケース(銅)と交換する,???? ?? (??)? ?????.
60003,Text,,击杀 15 只变异丛林狼,Kill 15 mutant coyotes,擊殺 15 只變異叢林狼,15匹の変異型ジャングルオオカミを撃ち殺します,?? ???? 15 ?? ????
60004,Text,,击杀 15 只嗜血黑熊,Kill 15 bloodthirsty black bears,擊殺 15 只嗜血黑熊,血に飢えたツキノワグマ15頭を撃殺,?? ??? ?? 15 ??? ????
60005,Text,,杀死“洞穴食人妖”,Kill the "cave troll",殺死“洞穴食人妖”,「洞窟人喰い」を殺す,?? ??? ????.
60006,Text,,杀死“穆马基尔”,Kill "Mumakir",殺死“穆馬基爾”,「ムマキル」を殺す,?????? ????.
60007,Text,,杀死“昂哥立安-游荡者”,Kill the Angorian Wanderer.,殺死“昂哥立安-遊蕩者”,「オンゴリアン」を殺す,????-???? ????.
60008,Text,,击杀20只丛林狼,Kill 20 coyotes,擊殺20只叢林狼,ジャングルのオオカミ20匹を撃ち殺す,???? 20 ?? ????
60009,Text,,兑换一个盲盒（铜）,Exchange one blind box (copper),兌換一個盲盒（銅）,ブラインドケース(銅)と交換する,???? ?? (??)? ?????.
6001,Text,,霍普顿,"Hope,",霍普頓,ホープトン,???
60010,Text,,击杀 15 只变异丛林狼,Kill 15 mutant coyotes,擊殺 15 只變異叢林狼,15匹の変異型ジャングルオオカミを撃ち殺します,?? ???? 15 ?? ????
6001001,Text,,找我有什么事吗,Is there anything you want me to do,找我有什麼事嗎,問題はありますか,? ?? ?? ?? ???
60011,Text,,击杀 15 只嗜血黑熊,Kill 15 bloodthirsty black bears,擊殺 15 只嗜血黑熊,血に飢えたツキノワグマ15頭を撃殺,?? ??? ?? 15 ??? ????
60012,Text,,杀死“洞穴食人妖”,Kill the "cave troll",殺死“洞穴食人妖”,「洞窟人喰い」を殺す,?? ??? ????.
60013,Text,,杀死“穆马基尔”,Kill "Mumakir",殺死“穆馬基爾”,「ムマキル」を殺す,?????? ????.
60014,Text,,杀死“昂哥立安-游荡者”,Kill the Angorian Wanderer.,殺死“昂哥立安-遊蕩者”,「オンゴリアン」を殺す,????-???? ????.
60015,Text,,击杀20只丛林狼,Kill 20 coyotes,擊殺20只叢林狼,ジャングルのオオカミ20匹を撃ち殺す,???? 20 ?? ????
60016,Text,,兑换一个盲盒（铜）,Exchange one blind box (copper),兌換一個盲盒（銅）,ブラインドケース(銅)と交換する,???? ?? (??)? ?????.
60017,Text,,击杀 15 只变异丛林狼,Kill 15 mutant coyotes,擊殺 15 只變異叢林狼,15匹の変異型ジャングルオオカミを撃ち殺します,?? ???? 15 ?? ????
60018,Text,,击杀 15 只嗜血黑熊,Kill 15 bloodthirsty black bears,擊殺 15 只嗜血黑熊,血に飢えたツキノワグマ15頭を撃殺,?? ??? ?? 15 ??? ????
60019,Text,,杀死“洞穴食人妖”,Kill the "cave troll",殺死“洞穴食人妖”,「洞窟人喰い」を殺す,?? ??? ????.
6002,Text,,凯瑟琳,Catherine,凱瑟琳,キャサリン,???
60020,Text,,杀死“穆马基尔”,Kill "Mumakir",殺死“穆馬基爾”,「ムマキル」を殺す,?????? ????.
6002001,Text,,欢迎光临美丽的顾客,Welcome beautiful customer,歡迎光臨 美麗的顧客,ようこそ 美しい顧客,????? ???? ???
60021,Text,,杀死“昂哥立安-游荡者”,Kill the Angorian Wanderer.,殺死“昂哥立安-遊蕩者”,「オンゴリアン」を殺す,????-???? ????.
60022,Text,,击杀20只丛林狼,Kill 20 coyotes,擊殺20只叢林狼,ジャングルのオオカミ20匹を撃ち殺す,???? 20 ?? ????
60023,Text,,兑换一个盲盒（铜）,Exchange one blind box (copper),兌換一個盲盒（銅）,ブラインドケース(銅)と交換する,???? ?? (??)? ?????.
60024,Text,,击杀 15 只变异丛林狼,Kill 15 mutant coyotes,擊殺 15 只變異叢林狼,15匹の変異型ジャングルオオカミを撃ち殺します,?? ???? 15 ?? ????
60025,Text,,击杀 15 只嗜血黑熊,Kill 15 bloodthirsty black bears,擊殺 15 只嗜血黑熊,血に飢えたツキノワグマ15頭を撃殺,?? ??? ?? 15 ??? ????
60026,Text,,杀死“洞穴食人妖”,Kill the "cave troll",殺死“洞穴食人妖”,「洞窟人喰い」を殺す,?? ??? ????.
60027,Text,,杀死“穆马基尔”,Kill "Mumakir",殺死“穆馬基爾”,「ムマキル」を殺す,?????? ????.
60028,Text,,杀死“昂哥立安-游荡者”,Kill the Angorian Wanderer.,殺死“昂哥立安-遊蕩者”,「オンゴリアン」を殺す,????-???? ????.
60029,Text,,通过挖矿收获1块铜矿石,Harvest 1 copper ore by mining,通過挖礦收獲1塊銅礦石,採掘で銅鉱石1個を収穫する,??? ?? ?? ?? ? ?? ????
6003,Text,,汉克,Hank,漢克,ハンク,??
60030,Text,,总计杀死 30 只烈焰巫师,Kill a total of 30 Fire wizards,總計殺死 30 只烈焰巫師,合計30匹の炎の魔法使いを殺しました,? 30?? ????? ???
6003001,Text,,快走开贼眉鼠眼的家伙,go away  you bastard,快走開 賊眉鼠眼的傢伙,離れて あなたは野郎,???? ? ???
60031,Text,,总计杀死 30 只黑暗巫师,Kill 30 dark wizards in total,總計殺死 30 只黑暗巫師,合計30匹のダークウィッチを殺しました,? 30?? ???? ???
60032,Text,,总计杀死 30 只骷髅守卫,Kill 30 skeleton guards in total,總計殺死 30 只骷髏守衛,合計30匹のスカルガードを殺し,?? ??? 30?? ???
60033,Text,,总计杀死 30 只烈焰骷髅守卫,Kill 30 Flaming Skull guards in total,總計殺死 30 只烈焰骷髏守衛,合計30匹の炎の髑髏守備兵を殺しました,? 30 ??? ?? ???? ???
6004,Text,,汉斯,Hans,漢斯,ハンス,??
6004001,Text,,是装备又坏了吗快来让我看看,Is the equipment broken again come and let me see,是裝備又壞了嗎 快來讓我看看,機器がまた壊れたので、来て見させてください,??? ? ???? ?? ??
6005,Text,,波尔多,bordeaux,波爾多,ボルドー,???
6005001,Text,,找我有什么事吗,Is there anything you want me to do,找我有什麼事嗎,問題はありますか,? ?? ?? ?? ???
6006,Text,,卓卡克,Zhuo koc,卓卡克,チャウチャック,???
6006001,Text,,欢迎光临美丽的顾客,Welcome beautiful customer,歡迎光臨 美麗的顧客,ようこそ 美しい顧客,????? ???? ???
6007,Text,,阿克亚,"Gram,",阿克亞,アクア,???
6007001,Text,,快走开贼眉鼠眼的家伙,go away  you bastard,快走開 賊眉鼠眼的傢伙,離れて あなたは野郎,???? ? ???
6008,Text,,古里迪,Guri di,古裏迪,グリディ,???
6008001,Text,,是装备又坏了吗快来让我看看,Is the equipment broken again come and let me see,是裝備又壞了嗎 快來讓我看看,機器がまた壊れたので、来て見させてください,??? ? ???? ?? ??
6009,Text,,瑟兰督伊,Mr Du yi,瑟蘭督伊,スルランドゥイ,???????
6009001,Text,,找我有什么事吗,Is there anything you want me to do,找我有什麼事嗎,問題はありますか,? ?? ?? ?? ???
6010,Text,,莱戈拉斯,legolas,萊戈拉斯,レゴラス,????
6010001,Text,,欢迎光临美丽的顾客,Welcome beautiful customer,歡迎光臨 美麗的顧客,ようこそ 美しい顧客,????? ???? ???
6011,Text,,凯兰崔尔,galadriel,凱蘭崔爾,ケランチェイル,?? ????
6011001,Text,,快走开贼眉鼠眼的家伙,go away  you bastard,快走開 賊眉鼠眼的傢伙,離れて あなたは野郎,???? ? ???
6012,Text,,凯勒鹏,celeborn,凱勒鵬,ケラポン,????
6012001,Text,,是装备又坏了吗快来让我看看,Is the equipment broken again come and let me see,是裝備又壞了嗎 快來讓我看看,機器がまた壊れたので、来て見させてください,??? ? ???? ?? ??
6013,Text,,丹持,Dan is,丹持,ダンに,??
6013001,Text,,埃多拉斯的七大不可思议想不想听听,The Seven Wonders of Edoras do you want to hear it?,找我有什麼事嗎,問題はありますか,? ?? ?? ?? ???
6014,Text,,富格,"Rich,",富格,富格,?? ? ?
